value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Deciles,Geographical area
5.66375,26,8620,,Latin America (simple average),2002,Decile 5,Urban
6.95974,26,8620,,Latin America (simple average),2002,Decile 6,Urban
8.62569,26,8620,,Latin America (simple average),2002,Decile 7,Urban
11.19627,26,8620,,Latin America (simple average),2002,Decile 8,Urban
16.02771,26,8620,,Latin America (simple average),2002,Decile 9,Urban
1.1066,26,8620,,Latin America (simple average),2003,Decile 1,National
41.7216,26,8620,,Latin America (simple average),2003,Decile 10,National
2.33847,26,8620,,Latin America (simple average),2003,Decile 2,National
3.30257,26,8620,,Latin America (simple average),2003,Decile 3,National
4.24525,26,8620,,Latin America (simple average),2003,Decile 4,National
5.30798,26,8620,,Latin America (simple average),2003,Decile 5,National
6.69164,26,8620,,Latin America (simple average),2003,Decile 6,National
8.36387,26,8620,,Latin America (simple average),2003,Decile 7,National
11.054,26,8620,,Latin America (simple average),2003,Decile 8,National
15.86801,26,8620,,Latin America (simple average),2003,Decile 9,National
1.42273,26,8620,,Latin America (simple average),2003,Decile 1,Rural
38.54723,26,8620,,Latin America (simple average),2003,Decile 10,Rural
2.71736,26,8620,,Latin America (simple average),2003,Decile 2,Rural
3.72443,26,8620,,Latin America (simple average),2003,Decile 3,Rural
4.68248,26,8620,,Latin America (simple average),2003,Decile 4,Rural
5.83121,26,8620,,Latin America (simple average),2003,Decile 5,Rural
7.18251,26,8620,,Latin America (simple average),2003,Decile 6,Rural
8.89797,26,8620,,Latin America (simple average),2003,Decile 7,Rural
11.39261,26,8620,,Latin America (simple average),2003,Decile 8,Rural
15.60146,26,8620,,Latin America (simple average),2003,Decile 9,Rural
1.37069,26,8620,,Latin America (simple average),2003,Decile 1,Urban
39.80192,26,8620,,Latin America (simple average),2003,Decile 10,Urban
2.72178,26,8620,,Latin America (simple average),2003,Decile 2,Urban
3.64978,26,8620,,Latin America (simple average),2003,Decile 3,Urban
4.57108,26,8620,,Latin America (simple average),2003,Decile 4,Urban
5.57088,26,8620,,Latin America (simple average),2003,Decile 5,Urban
6.85955,26,8620,,Latin America (simple average),2003,Decile 6,Urban
8.56282,26,8620,,Latin America (simple average),2003,Decile 7,Urban
11.11048,26,8620,,Latin America (simple average),2003,Decile 8,Urban
15.78101,26,8620,,Latin America (simple average),2003,Decile 9,Urban
1.19025,26,8620,,Latin America (simple average),2004,Decile 1,National
41.02708,26,8620,,Latin America (simple average),2004,Decile 10,National
2.44326,26,8620,,Latin America (simple average),2004,Decile 2,National
3.40116,26,8620,,Latin America (simple average),2004,Decile 3,National
4.34209,26,8620,,Latin America (simple average),2004,Decile 4,National
5.3993,26,8620,,Latin America (simple average),2004,Decile 5,National
6.7306,26,8620,,Latin America (simple average),2004,Decile 6,National
8.46367,26,8620,,Latin America (simple average),2004,Decile 7,National
11.05086,26,8620,,Latin America (simple average),2004,Decile 8,National
15.95173,26,8620,,Latin America (simple average),2004,Decile 9,National
1.47639,26,8620,,Latin America (simple average),2004,Decile 1,Rural
38.06235,26,8620,,Latin America (simple average),2004,Decile 10,Rural
2.82507,26,8620,,Latin America (simple average),2004,Decile 2,Rural
3.8393,26,8620,,Latin America (simple average),2004,Decile 3,Rural
4.86318,26,8620,,Latin America (simple average),2004,Decile 4,Rural
5.97809,26,8620,,Latin America (simple average),2004,Decile 5,Rural
7.2809,26,8620,,Latin America (simple average),2004,Decile 6,Rural
8.90266,26,8620,,Latin America (simple average),2004,Decile 7,Rural
11.3021,26,8620,,Latin America (simple average),2004,Decile 8,Rural
15.46996,26,8620,,Latin America (simple average),2004,Decile 9,Rural
1.45161,26,8620,,Latin America (simple average),2004,Decile 1,Urban
39.09537,26,8620,,Latin America (simple average),2004,Decile 10,Urban
2.78551,26,8620,,Latin America (simple average),2004,Decile 2,Urban
3.68207,26,8620,,Latin America (simple average),2004,Decile 3,Urban
4.6423,26,8620,,Latin America (simple average),2004,Decile 4,Urban
5.66249,26,8620,,Latin America (simple average),2004,Decile 5,Urban
6.91666,26,8620,,Latin America (simple average),2004,Decile 6,Urban
8.65819,26,8620,,Latin America (simple average),2004,Decile 7,Urban
11.20111,26,8620,,Latin America (simple average),2004,Decile 8,Urban
15.90468,26,8620,,Latin America (simple average),2004,Decile 9,Urban
1.14788,26,8620,,Latin America (simple average),2005,Decile 1,National
40.53997,26,8620,,Latin America (simple average),2005,Decile 10,National
2.38678,26,8620,,Latin America (simple average),2005,Decile 2,National
3.35983,26,8620,,Latin America (simple average),2005,Decile 3,National
4.32984,26,8620,,Latin America (simple average),2005,Decile 4,National
5.43177,26,8620,,Latin America (simple average),2005,Decile 5,National
6.76075,26,8620,,Latin America (simple average),2005,Decile 6,National
8.59728,26,8620,,Latin America (simple average),2005,Decile 7,National
11.21567,26,8620,,Latin America (simple average),2005,Decile 8,National
16.23024,26,8620,,Latin America (simple average),2005,Decile 9,National
1.38174,26,8620,,Latin America (simple average),2005,Decile 1,Rural
38.30062,26,8620,,Latin America (simple average),2005,Decile 10,Rural
2.67448,26,8620,,Latin America (simple average),2005,Decile 2,Rural
3.70261,26,8620,,Latin America (simple average),2005,Decile 3,Rural
4.7762,26,8620,,Latin America (simple average),2005,Decile 4,Rural
5.82392,26,8620,,Latin America (simple average),2005,Decile 5,Rural
7.24347,26,8620,,Latin America (simple average),2005,Decile 6,Rural
8.93297,26,8620,,Latin America (simple average),2005,Decile 7,Rural
11.35767,26,8620,,Latin America (simple average),2005,Decile 8,Rural
15.80631,26,8620,,Latin America (simple average),2005,Decile 9,Rural
1.41024,26,8620,,Latin America (simple average),2005,Decile 1,Urban
38.54099,26,8620,,Latin America (simple average),2005,Decile 10,Urban
2.75635,26,8620,,Latin America (simple average),2005,Decile 2,Urban
3.71133,26,8620,,Latin America (simple average),2005,Decile 3,Urban
4.6383,26,8620,,Latin America (simple average),2005,Decile 4,Urban
5.65927,26,8620,,Latin America (simple average),2005,Decile 5,Urban
7.02137,26,8620,,Latin America (simple average),2005,Decile 6,Urban
8.74276,26,8620,,Latin America (simple average),2005,Decile 7,Urban
11.35966,26,8620,,Latin America (simple average),2005,Decile 8,Urban
16.15973,26,8620,,Latin America (simple average),2005,Decile 9,Urban
1.26973,26,8620,,Latin America (simple average),2006,Decile 1,National
40.06621,26,8620,,Latin America (simple average),2006,Decile 10,National
2.48295,26,8620,,Latin America (simple average),2006,Decile 2,National
3.41412,26,8620,,Latin America (simple average),2006,Decile 3,National
4.40019,26,8620,,Latin America (simple average),2006,Decile 4,National
5.5062,26,8620,,Latin America (simple average),2006,Decile 5,National
6.87276,26,8620,,Latin America (simple average),2006,Decile 6,National
8.62136,26,8620,,Latin America (simple average),2006,Decile 7,National
11.23687,26,8620,,Latin America (simple average),2006,Decile 8,National
16.12961,26,8620,,Latin America (simple average),2006,Decile 9,National
1.51268,26,8620,,Latin America (simple average),2006,Decile 1,Rural
38.06692,26,8620,,Latin America (simple average),2006,Decile 10,Rural
2.77403,26,8620,,Latin America (simple average),2006,Decile 2,Rural
3.76434,26,8620,,Latin America (simple average),2006,Decile 3,Rural
4.75288,26,8620,,Latin America (simple average),2006,Decile 4,Rural
5.88023,26,8620,,Latin America (simple average),2006,Decile 5,Rural
7.21597,26,8620,,Latin America (simple average),2006,Decile 6,Rural
8.94611,26,8620,,Latin America (simple average),2006,Decile 7,Rural
11.39344,26,8620,,Latin America (simple average),2006,Decile 8,Rural
15.6934,26,8620,,Latin America (simple average),2006,Decile 9,Rural
1.53724,26,8620,,Latin America (simple average),2006,Decile 1,Urban
38.23341,26,8620,,Latin America (simple average),2006,Decile 10,Urban
2.86064,26,8620,,Latin America (simple average),2006,Decile 2,Urban
3.79072,26,8620,,Latin America (simple average),2006,Decile 3,Urban
4.70503,26,8620,,Latin America (simple average),2006,Decile 4,Urban
5.76002,26,8620,,Latin America (simple average),2006,Decile 5,Urban
7.0616,26,8620,,Latin America (simple average),2006,Decile 6,Urban
8.73057,26,8620,,Latin America (simple average),2006,Decile 7,Urban
11.28281,26,8620,,Latin America (simple average),2006,Decile 8,Urban
16.03794,26,8620,,Latin America (simple average),2006,Decile 9,Urban
1.32897,26,8620,,Latin America (simple average),2007,Decile 1,National
39.84678,26,8620,,Latin America (simple average),2007,Decile 10,National
2.54609,26,8620,,Latin America (simple average),2007,Decile 2,National
3.47902,26,8620,,Latin America (simple average),2007,Decile 3,National
4.44146,26,8620,,Latin America (simple average),2007,Decile 4,National
5.56943,26,8620,,Latin America (simple average),2007,Decile 5,National
6.86716,26,8620,,Latin America (simple average),2007,Decile 6,National
8.61846,26,8620,,Latin America (simple average),2007,Decile 7,National
11.23949,26,8620,,Latin America (simple average),2007,Decile 8,National
16.06314,26,8620,,Latin America (simple average),2007,Decile 9,National
1.58286,26,8620,,Latin America (simple average),2007,Decile 1,Rural
37.90513,26,8620,,Latin America (simple average),2007,Decile 10,Rural
2.87504,26,8620,,Latin America (simple average),2007,Decile 2,Rural
3.87089,26,8620,,Latin America (simple average),2007,Decile 3,Rural
4.84372,26,8620,,Latin America (simple average),2007,Decile 4,Rural
5.95465,26,8620,,Latin America (simple average),2007,Decile 5,Rural
7.25951,26,8620,,Latin America (simple average),2007,Decile 6,Rural
8.82614,26,8620,,Latin America (simple average),2007,Decile 7,Rural
11.35215,26,8620,,Latin America (simple average),2007,Decile 8,Rural
15.52991,26,8620,,Latin America (simple average),2007,Decile 9,Rural
1.63039,26,8620,,Latin America (simple average),2007,Decile 1,Urban
37.95104,26,8620,,Latin America (simple average),2007,Decile 10,Urban
2.91721,26,8620,,Latin America (simple average),2007,Decile 2,Urban
3.81793,26,8620,,Latin America (simple average),2007,Decile 3,Urban
4.74963,26,8620,,Latin America (simple average),2007,Decile 4,Urban
5.80679,26,8620,,Latin America (simple average),2007,Decile 5,Urban
7.0471,26,8620,,Latin America (simple average),2007,Decile 6,Urban
8.73512,26,8620,,Latin America (simple average),2007,Decile 7,Urban
11.33233,26,8620,,Latin America (simple average),2007,Decile 8,Urban
16.01246,26,8620,,Latin America (simple average),2007,Decile 9,Urban
