value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.13,77,,ARG,Argentina,2003
2.28,77,,BHS,Bahamas,2003
1.13,77,,BRB,Barbados,2003
2.28,77,,BLZ,Belize,2003
1.13,77,,BOL,Bolivia (Plurinational State of),2003
2.28,77,,BRA,Brazil,2003
1.13,77,,CHL,Chile,2003
2.28,77,,COL,Colombia,2003
1.13,77,,CRI,Costa Rica,2003
2.28,77,,CUB,Cuba,2003
1.13,77,,DOM,Dominican Republic,2003
2.28,77,,ECU,Ecuador,2003
1.13,77,,SLV,El Salvador,2003
2.28,77,,GUY,Guyana,2003
1.13,77,,HTI,Haiti,2003
2.28,77,,HND,Honduras,2003
1.13,77,,JAM,Jamaica,2003
2.28,77,,MEX,Mexico,2003
1.13,77,,NIC,Nicaragua,2003
2.28,77,,PAN,Panama,2003
1.13,77,,PRY,Paraguay,2003
2.28,77,,PER,Peru,2003
1.13,77,,KNA,Saint Kitts and Nevis,2003
2.28,77,,LCA,Saint Lucia,2003
1.13,77,,SUR,Suriname,2003
2.28,77,,TTO,Trinidad and Tobago,2003
1.13,77,,URY,Uruguay,2003
2.28,77,,VEN,Venezuela (Bolivarian Republic of),2003
1.09,77,,ARG,Argentina,2004
2.27,77,,BHS,Bahamas,2004
2.24,77,,BRA,Brazil,2010
1.32,77,,CHL,Chile,2010
2.24,77,,COL,Colombia,2010
1.32,77,,CRI,Costa Rica,2010
2.24,77,,CUB,Cuba,2010
1.32,77,,DOM,Dominican Republic,2010
2.24,77,,ECU,Ecuador,2010
1.32,77,,SLV,El Salvador,2010
2.24,77,,GUY,Guyana,2010
1.32,77,,HTI,Haiti,2010
2.24,77,,HND,Honduras,2010
1.32,77,,JAM,Jamaica,2010
2.24,77,,MEX,Mexico,2010
1.32,77,,NIC,Nicaragua,2010
2.24,77,,PAN,Panama,2010
2.27,77,,HND,Honduras,2004
1.09,77,,JAM,Jamaica,2004
2.27,77,,MEX,Mexico,2004
