value,source_id,notes_ids,iso3,Country__ESTANDAR,Sex,Years__ESTANDAR
55.3,6547,,AIA,Anguilla,Both sexes,1950
55.5,6547,,AIA,Anguilla,Both sexes,1951
56.0,6547,,AIA,Anguilla,Both sexes,1952
56.5,6547,,AIA,Anguilla,Both sexes,1953
57.0,6547,,AIA,Anguilla,Both sexes,1954
57.5,6547,,AIA,Anguilla,Both sexes,1955
58.1,6547,,AIA,Anguilla,Both sexes,1956
58.7,6547,,AIA,Anguilla,Both sexes,1957
59.2,6547,,AIA,Anguilla,Both sexes,1958
59.9,6547,,AIA,Anguilla,Both sexes,1959
59.0,6547,,AIA,Anguilla,Both sexes,1960
60.9,6547,,AIA,Anguilla,Both sexes,1961
61.3,6547,,AIA,Anguilla,Both sexes,1962
61.9,6547,,AIA,Anguilla,Both sexes,1963
62.4,6547,,AIA,Anguilla,Both sexes,1964
62.9,6547,,AIA,Anguilla,Both sexes,1965
63.3,6547,,AIA,Anguilla,Both sexes,1966
63.7,6547,,AIA,Anguilla,Both sexes,1967
64.2,6547,,AIA,Anguilla,Both sexes,1968
64.7,6547,,AIA,Anguilla,Both sexes,1969
65.1,6547,,AIA,Anguilla,Both sexes,1970
65.5,6547,,AIA,Anguilla,Both sexes,1971
66.0,6547,,AIA,Anguilla,Both sexes,1972
66.4,6547,,AIA,Anguilla,Both sexes,1973
66.8,6547,,AIA,Anguilla,Both sexes,1974
67.3,6547,,AIA,Anguilla,Both sexes,1975
67.7,6547,,AIA,Anguilla,Both sexes,1976
68.0,6547,,AIA,Anguilla,Both sexes,1977
68.4,6547,,AIA,Anguilla,Both sexes,1978
68.7,6547,,AIA,Anguilla,Both sexes,1979
69.0,6547,,AIA,Anguilla,Both sexes,1980
69.1,6547,,AIA,Anguilla,Both sexes,1981
69.3,6547,,AIA,Anguilla,Both sexes,1982
69.5,6547,,AIA,Anguilla,Both sexes,1983
69.7,6547,,AIA,Anguilla,Both sexes,1984
69.9,6547,,AIA,Anguilla,Both sexes,1985
70.2,6547,,AIA,Anguilla,Both sexes,1986
70.5,6547,,AIA,Anguilla,Both sexes,1987
70.9,6547,,AIA,Anguilla,Both sexes,1988
71.2,6547,,AIA,Anguilla,Both sexes,1989
71.8,6547,,AIA,Anguilla,Both sexes,1990
72.6,6547,,AIA,Anguilla,Both sexes,1991
73.3,6547,,AIA,Anguilla,Both sexes,1992
73.8,6547,,AIA,Anguilla,Both sexes,1993
74.1,6547,,AIA,Anguilla,Both sexes,1994
74.4,6547,,AIA,Anguilla,Both sexes,1995
74.7,6547,,AIA,Anguilla,Both sexes,1996
75.0,6547,,AIA,Anguilla,Both sexes,1997
75.3,6547,,AIA,Anguilla,Both sexes,1998
75.6,6547,,AIA,Anguilla,Both sexes,1999
76.0,6547,,AIA,Anguilla,Both sexes,2000
76.3,6547,,AIA,Anguilla,Both sexes,2001
76.5,6547,,AIA,Anguilla,Both sexes,2002
76.5,6547,,AIA,Anguilla,Both sexes,2003
76.5,6547,,AIA,Anguilla,Both sexes,2004
76.5,6547,,AIA,Anguilla,Both sexes,2005
76.6,6547,,AIA,Anguilla,Both sexes,2006
76.9,6547,,AIA,Anguilla,Both sexes,2007
77.1,6547,,AIA,Anguilla,Both sexes,2008
77.4,6547,,AIA,Anguilla,Both sexes,2009
77.7,6547,,AIA,Anguilla,Both sexes,2010
77.9,6547,,AIA,Anguilla,Both sexes,2011
77.8,6547,,AIA,Anguilla,Both sexes,2012
77.6,6547,,AIA,Anguilla,Both sexes,2013
77.4,6547,,AIA,Anguilla,Both sexes,2014
77.1,6547,,AIA,Anguilla,Both sexes,2015
76.8,6547,,AIA,Anguilla,Both sexes,2016
75.9,6547,,AIA,Anguilla,Both sexes,2017
76.8,6547,,AIA,Anguilla,Both sexes,2018
76.9,6547,,AIA,Anguilla,Both sexes,2019
76.9,6547,,AIA,Anguilla,Both sexes,2020
76.6,6547,,AIA,Anguilla,Both sexes,2021
77.4,6547,,AIA,Anguilla,Both sexes,2022
77.6,6547,,AIA,Anguilla,Both sexes,2023
77.8,6547,,AIA,Anguilla,Both sexes,2024
78.0,6547,,AIA,Anguilla,Both sexes,2025
78.2,6547,,AIA,Anguilla,Both sexes,2026
78.4,6547,,AIA,Anguilla,Both sexes,2027
78.6,6547,,AIA,Anguilla,Both sexes,2028
78.8,6547,,AIA,Anguilla,Both sexes,2029
79.0,6547,,AIA,Anguilla,Both sexes,2030
79.2,6547,,AIA,Anguilla,Both sexes,2031
79.4,6547,,AIA,Anguilla,Both sexes,2032
79.6,6547,,AIA,Anguilla,Both sexes,2033
79.8,6547,,AIA,Anguilla,Both sexes,2034
79.9,6547,,AIA,Anguilla,Both sexes,2035
80.1,6547,,AIA,Anguilla,Both sexes,2036
80.3,6547,,AIA,Anguilla,Both sexes,2037
80.5,6547,,AIA,Anguilla,Both sexes,2038
80.7,6547,,AIA,Anguilla,Both sexes,2039
80.9,6547,,AIA,Anguilla,Both sexes,2040
81.0,6547,,AIA,Anguilla,Both sexes,2041
81.2,6547,,AIA,Anguilla,Both sexes,2042
81.4,6547,,AIA,Anguilla,Both sexes,2043
81.6,6547,,AIA,Anguilla,Both sexes,2044
81.7,6547,,AIA,Anguilla,Both sexes,2045
81.9,6547,,AIA,Anguilla,Both sexes,2046
82.1,6547,,AIA,Anguilla,Both sexes,2047
82.2,6547,,AIA,Anguilla,Both sexes,2048
82.4,6547,,AIA,Anguilla,Both sexes,2049
82.5,6547,,AIA,Anguilla,Both sexes,2050
82.7,6547,,AIA,Anguilla,Both sexes,2051
82.8,6547,,AIA,Anguilla,Both sexes,2052
83.0,6547,,AIA,Anguilla,Both sexes,2053
83.1,6547,,AIA,Anguilla,Both sexes,2054
83.3,6547,,AIA,Anguilla,Both sexes,2055
83.4,6547,,AIA,Anguilla,Both sexes,2056
83.6,6547,,AIA,Anguilla,Both sexes,2057
83.7,6547,,AIA,Anguilla,Both sexes,2058
83.8,6547,,AIA,Anguilla,Both sexes,2059
84.0,6547,,AIA,Anguilla,Both sexes,2060
84.1,6547,,AIA,Anguilla,Both sexes,2061
84.2,6547,,AIA,Anguilla,Both sexes,2062
84.4,6547,,AIA,Anguilla,Both sexes,2063
84.5,6547,,AIA,Anguilla,Both sexes,2064
84.6,6547,,AIA,Anguilla,Both sexes,2065
84.8,6547,,AIA,Anguilla,Both sexes,2066
84.9,6547,,AIA,Anguilla,Both sexes,2067
85.0,6547,,AIA,Anguilla,Both sexes,2068
85.1,6547,,AIA,Anguilla,Both sexes,2069
85.3,6547,,AIA,Anguilla,Both sexes,2070
85.4,6547,,AIA,Anguilla,Both sexes,2071
85.5,6547,,AIA,Anguilla,Both sexes,2072
85.6,6547,,AIA,Anguilla,Both sexes,2073
85.8,6547,,AIA,Anguilla,Both sexes,2074
85.9,6547,,AIA,Anguilla,Both sexes,2075
86.0,6547,,AIA,Anguilla,Both sexes,2076
86.1,6547,,AIA,Anguilla,Both sexes,2077
86.3,6547,,AIA,Anguilla,Both sexes,2078
86.4,6547,,AIA,Anguilla,Both sexes,2079
86.5,6547,,AIA,Anguilla,Both sexes,2080
86.6,6547,,AIA,Anguilla,Both sexes,2081
86.7,6547,,AIA,Anguilla,Both sexes,2082
86.8,6547,,AIA,Anguilla,Both sexes,2083
87.0,6547,,AIA,Anguilla,Both sexes,2084
87.1,6547,,AIA,Anguilla,Both sexes,2085
87.2,6547,,AIA,Anguilla,Both sexes,2086
87.3,6547,,AIA,Anguilla,Both sexes,2087
87.4,6547,,AIA,Anguilla,Both sexes,2088
87.5,6547,,AIA,Anguilla,Both sexes,2089
87.7,6547,,AIA,Anguilla,Both sexes,2090
87.8,6547,,AIA,Anguilla,Both sexes,2091
87.9,6547,,AIA,Anguilla,Both sexes,2092
88.0,6547,,AIA,Anguilla,Both sexes,2093
88.1,6547,,AIA,Anguilla,Both sexes,2094
88.2,6547,,AIA,Anguilla,Both sexes,2095
88.3,6547,,AIA,Anguilla,Both sexes,2096
88.5,6547,,AIA,Anguilla,Both sexes,2097
88.6,6547,,AIA,Anguilla,Both sexes,2098
88.7,6547,,AIA,Anguilla,Both sexes,2099
88.8,6547,,AIA,Anguilla,Both sexes,2100
53.1,6547,,AIA,Anguilla,Men,1950
53.3,6547,,AIA,Anguilla,Men,1951
53.8,6547,,AIA,Anguilla,Men,1952
54.2,6547,,AIA,Anguilla,Men,1953
54.6,6547,,AIA,Anguilla,Men,1954
55.1,6547,,AIA,Anguilla,Men,1955
55.6,6547,,AIA,Anguilla,Men,1956
56.0,6547,,AIA,Anguilla,Men,1957
56.4,6547,,AIA,Anguilla,Men,1958
56.8,6547,,AIA,Anguilla,Men,1959
56.2,6547,,AIA,Anguilla,Men,1960
57.7,6547,,AIA,Anguilla,Men,1961
58.0,6547,,AIA,Anguilla,Men,1962
58.4,6547,,AIA,Anguilla,Men,1963
58.8,6547,,AIA,Anguilla,Men,1964
59.2,6547,,AIA,Anguilla,Men,1965
59.5,6547,,AIA,Anguilla,Men,1966
59.9,6547,,AIA,Anguilla,Men,1967
60.3,6547,,AIA,Anguilla,Men,1968
60.8,6547,,AIA,Anguilla,Men,1969
61.1,6547,,AIA,Anguilla,Men,1970
61.4,6547,,AIA,Anguilla,Men,1971
61.8,6547,,AIA,Anguilla,Men,1972
62.1,6547,,AIA,Anguilla,Men,1973
62.5,6547,,AIA,Anguilla,Men,1974
63.0,6547,,AIA,Anguilla,Men,1975
63.3,6547,,AIA,Anguilla,Men,1976
63.7,6547,,AIA,Anguilla,Men,1977
64.3,6547,,AIA,Anguilla,Men,1978
64.7,6547,,AIA,Anguilla,Men,1979
65.1,6547,,AIA,Anguilla,Men,1980
65.5,6547,,AIA,Anguilla,Men,1981
66.0,6547,,AIA,Anguilla,Men,1982
66.4,6547,,AIA,Anguilla,Men,1983
66.7,6547,,AIA,Anguilla,Men,1984
67.1,6547,,AIA,Anguilla,Men,1985
67.7,6547,,AIA,Anguilla,Men,1986
68.2,6547,,AIA,Anguilla,Men,1987
68.6,6547,,AIA,Anguilla,Men,1988
69.1,6547,,AIA,Anguilla,Men,1989
69.8,6547,,AIA,Anguilla,Men,1990
70.6,6547,,AIA,Anguilla,Men,1991
71.3,6547,,AIA,Anguilla,Men,1992
71.6,6547,,AIA,Anguilla,Men,1993
71.9,6547,,AIA,Anguilla,Men,1994
72.2,6547,,AIA,Anguilla,Men,1995
72.5,6547,,AIA,Anguilla,Men,1996
72.8,6547,,AIA,Anguilla,Men,1997
73.1,6547,,AIA,Anguilla,Men,1998
73.4,6547,,AIA,Anguilla,Men,1999
73.8,6547,,AIA,Anguilla,Men,2000
74.1,6547,,AIA,Anguilla,Men,2001
74.2,6547,,AIA,Anguilla,Men,2002
74.2,6547,,AIA,Anguilla,Men,2003
74.0,6547,,AIA,Anguilla,Men,2004
73.9,6547,,AIA,Anguilla,Men,2005
73.9,6547,,AIA,Anguilla,Men,2006
74.1,6547,,AIA,Anguilla,Men,2007
74.2,6547,,AIA,Anguilla,Men,2008
74.3,6547,,AIA,Anguilla,Men,2009
74.5,6547,,AIA,Anguilla,Men,2010
74.6,6547,,AIA,Anguilla,Men,2011
74.5,6547,,AIA,Anguilla,Men,2012
74.3,6547,,AIA,Anguilla,Men,2013
74.1,6547,,AIA,Anguilla,Men,2014
73.7,6547,,AIA,Anguilla,Men,2015
73.5,6547,,AIA,Anguilla,Men,2016
72.8,6547,,AIA,Anguilla,Men,2017
73.4,6547,,AIA,Anguilla,Men,2018
73.5,6547,,AIA,Anguilla,Men,2019
73.5,6547,,AIA,Anguilla,Men,2020
73.2,6547,,AIA,Anguilla,Men,2021
74.1,6547,,AIA,Anguilla,Men,2022
74.3,6547,,AIA,Anguilla,Men,2023
74.5,6547,,AIA,Anguilla,Men,2024
74.8,6547,,AIA,Anguilla,Men,2025
75.0,6547,,AIA,Anguilla,Men,2026
75.2,6547,,AIA,Anguilla,Men,2027
75.4,6547,,AIA,Anguilla,Men,2028
75.6,6547,,AIA,Anguilla,Men,2029
75.8,6547,,AIA,Anguilla,Men,2030
76.0,6547,,AIA,Anguilla,Men,2031
76.2,6547,,AIA,Anguilla,Men,2032
76.4,6547,,AIA,Anguilla,Men,2033
76.6,6547,,AIA,Anguilla,Men,2034
76.9,6547,,AIA,Anguilla,Men,2035
77.1,6547,,AIA,Anguilla,Men,2036
77.3,6547,,AIA,Anguilla,Men,2037
77.5,6547,,AIA,Anguilla,Men,2038
77.7,6547,,AIA,Anguilla,Men,2039
77.9,6547,,AIA,Anguilla,Men,2040
78.1,6547,,AIA,Anguilla,Men,2041
78.3,6547,,AIA,Anguilla,Men,2042
78.6,6547,,AIA,Anguilla,Men,2043
78.8,6547,,AIA,Anguilla,Men,2044
79.0,6547,,AIA,Anguilla,Men,2045
79.2,6547,,AIA,Anguilla,Men,2046
79.4,6547,,AIA,Anguilla,Men,2047
79.6,6547,,AIA,Anguilla,Men,2048
79.7,6547,,AIA,Anguilla,Men,2049
79.9,6547,,AIA,Anguilla,Men,2050
80.1,6547,,AIA,Anguilla,Men,2051
80.3,6547,,AIA,Anguilla,Men,2052
80.5,6547,,AIA,Anguilla,Men,2053
80.6,6547,,AIA,Anguilla,Men,2054
80.8,6547,,AIA,Anguilla,Men,2055
81.0,6547,,AIA,Anguilla,Men,2056
81.1,6547,,AIA,Anguilla,Men,2057
81.3,6547,,AIA,Anguilla,Men,2058
81.4,6547,,AIA,Anguilla,Men,2059
81.6,6547,,AIA,Anguilla,Men,2060
81.7,6547,,AIA,Anguilla,Men,2061
81.9,6547,,AIA,Anguilla,Men,2062
82.0,6547,,AIA,Anguilla,Men,2063
82.2,6547,,AIA,Anguilla,Men,2064
82.3,6547,,AIA,Anguilla,Men,2065
82.5,6547,,AIA,Anguilla,Men,2066
82.6,6547,,AIA,Anguilla,Men,2067
82.7,6547,,AIA,Anguilla,Men,2068
82.9,6547,,AIA,Anguilla,Men,2069
83.0,6547,,AIA,Anguilla,Men,2070
83.1,6547,,AIA,Anguilla,Men,2071
83.2,6547,,AIA,Anguilla,Men,2072
83.4,6547,,AIA,Anguilla,Men,2073
83.5,6547,,AIA,Anguilla,Men,2074
83.6,6547,,AIA,Anguilla,Men,2075
83.8,6547,,AIA,Anguilla,Men,2076
83.9,6547,,AIA,Anguilla,Men,2077
84.0,6547,,AIA,Anguilla,Men,2078
84.1,6547,,AIA,Anguilla,Men,2079
84.3,6547,,AIA,Anguilla,Men,2080
84.4,6547,,AIA,Anguilla,Men,2081
84.5,6547,,AIA,Anguilla,Men,2082
84.6,6547,,AIA,Anguilla,Men,2083
84.8,6547,,AIA,Anguilla,Men,2084
84.9,6547,,AIA,Anguilla,Men,2085
85.0,6547,,AIA,Anguilla,Men,2086
85.1,6547,,AIA,Anguilla,Men,2087
85.2,6547,,AIA,Anguilla,Men,2088
85.4,6547,,AIA,Anguilla,Men,2089
85.5,6547,,AIA,Anguilla,Men,2090
85.6,6547,,AIA,Anguilla,Men,2091
85.7,6547,,AIA,Anguilla,Men,2092
85.8,6547,,AIA,Anguilla,Men,2093
86.0,6547,,AIA,Anguilla,Men,2094
86.1,6547,,AIA,Anguilla,Men,2095
86.2,6547,,AIA,Anguilla,Men,2096
86.3,6547,,AIA,Anguilla,Men,2097
86.4,6547,,AIA,Anguilla,Men,2098
86.5,6547,,AIA,Anguilla,Men,2099
86.6,6547,,AIA,Anguilla,Men,2100
57.3,6547,,AIA,Anguilla,Women,1950
57.5,6547,,AIA,Anguilla,Women,1951
58.0,6547,,AIA,Anguilla,Women,1952
58.7,6547,,AIA,Anguilla,Women,1953
59.3,6547,,AIA,Anguilla,Women,1954
59.9,6547,,AIA,Anguilla,Women,1955
60.5,6547,,AIA,Anguilla,Women,1956
61.1,6547,,AIA,Anguilla,Women,1957
61.7,6547,,AIA,Anguilla,Women,1958
62.4,6547,,AIA,Anguilla,Women,1959
61.1,6547,,AIA,Anguilla,Women,1960
63.4,6547,,AIA,Anguilla,Women,1961
63.9,6547,,AIA,Anguilla,Women,1962
64.6,6547,,AIA,Anguilla,Women,1963
65.2,6547,,AIA,Anguilla,Women,1964
65.9,6547,,AIA,Anguilla,Women,1965
66.4,6547,,AIA,Anguilla,Women,1966
66.9,6547,,AIA,Anguilla,Women,1967
67.4,6547,,AIA,Anguilla,Women,1968
68.1,6547,,AIA,Anguilla,Women,1969
68.6,6547,,AIA,Anguilla,Women,1970
69.1,6547,,AIA,Anguilla,Women,1971
69.8,6547,,AIA,Anguilla,Women,1972
70.3,6547,,AIA,Anguilla,Women,1973
70.8,6547,,AIA,Anguilla,Women,1974
71.3,6547,,AIA,Anguilla,Women,1975
71.8,6547,,AIA,Anguilla,Women,1976
72.1,6547,,AIA,Anguilla,Women,1977
72.3,6547,,AIA,Anguilla,Women,1978
72.5,6547,,AIA,Anguilla,Women,1979
72.6,6547,,AIA,Anguilla,Women,1980
72.5,6547,,AIA,Anguilla,Women,1981
72.4,6547,,AIA,Anguilla,Women,1982
72.4,6547,,AIA,Anguilla,Women,1983
72.4,6547,,AIA,Anguilla,Women,1984
72.4,6547,,AIA,Anguilla,Women,1985
72.5,6547,,AIA,Anguilla,Women,1986
72.7,6547,,AIA,Anguilla,Women,1987
73.0,6547,,AIA,Anguilla,Women,1988
73.3,6547,,AIA,Anguilla,Women,1989
73.6,6547,,AIA,Anguilla,Women,1990
74.3,6547,,AIA,Anguilla,Women,1991
75.2,6547,,AIA,Anguilla,Women,1992
75.8,6547,,AIA,Anguilla,Women,1993
76.2,6547,,AIA,Anguilla,Women,1994
76.5,6547,,AIA,Anguilla,Women,1995
76.8,6547,,AIA,Anguilla,Women,1996
77.1,6547,,AIA,Anguilla,Women,1997
77.4,6547,,AIA,Anguilla,Women,1998
77.8,6547,,AIA,Anguilla,Women,1999
78.2,6547,,AIA,Anguilla,Women,2000
78.5,6547,,AIA,Anguilla,Women,2001
78.7,6547,,AIA,Anguilla,Women,2002
78.8,6547,,AIA,Anguilla,Women,2003
79.0,6547,,AIA,Anguilla,Women,2004
79.2,6547,,AIA,Anguilla,Women,2005
79.4,6547,,AIA,Anguilla,Women,2006
79.8,6547,,AIA,Anguilla,Women,2007
80.2,6547,,AIA,Anguilla,Women,2008
80.7,6547,,AIA,Anguilla,Women,2009
81.2,6547,,AIA,Anguilla,Women,2010
81.5,6547,,AIA,Anguilla,Women,2011
81.3,6547,,AIA,Anguilla,Women,2012
81.1,6547,,AIA,Anguilla,Women,2013
81.0,6547,,AIA,Anguilla,Women,2014
80.8,6547,,AIA,Anguilla,Women,2015
80.7,6547,,AIA,Anguilla,Women,2016
79.5,6547,,AIA,Anguilla,Women,2017
80.7,6547,,AIA,Anguilla,Women,2018
80.7,6547,,AIA,Anguilla,Women,2019
80.7,6547,,AIA,Anguilla,Women,2020
80.5,6547,,AIA,Anguilla,Women,2021
81.2,6547,,AIA,Anguilla,Women,2022
81.3,6547,,AIA,Anguilla,Women,2023
81.5,6547,,AIA,Anguilla,Women,2024
81.6,6547,,AIA,Anguilla,Women,2025
81.7,6547,,AIA,Anguilla,Women,2026
81.9,6547,,AIA,Anguilla,Women,2027
82.0,6547,,AIA,Anguilla,Women,2028
82.2,6547,,AIA,Anguilla,Women,2029
82.3,6547,,AIA,Anguilla,Women,2030
82.5,6547,,AIA,Anguilla,Women,2031
82.6,6547,,AIA,Anguilla,Women,2032
82.7,6547,,AIA,Anguilla,Women,2033
82.9,6547,,AIA,Anguilla,Women,2034
83.0,6547,,AIA,Anguilla,Women,2035
83.2,6547,,AIA,Anguilla,Women,2036
83.3,6547,,AIA,Anguilla,Women,2037
83.4,6547,,AIA,Anguilla,Women,2038
83.6,6547,,AIA,Anguilla,Women,2039
83.7,6547,,AIA,Anguilla,Women,2040
83.8,6547,,AIA,Anguilla,Women,2041
84.0,6547,,AIA,Anguilla,Women,2042
84.1,6547,,AIA,Anguilla,Women,2043
84.2,6547,,AIA,Anguilla,Women,2044
84.4,6547,,AIA,Anguilla,Women,2045
84.5,6547,,AIA,Anguilla,Women,2046
84.6,6547,,AIA,Anguilla,Women,2047
84.7,6547,,AIA,Anguilla,Women,2048
84.9,6547,,AIA,Anguilla,Women,2049
85.0,6547,,AIA,Anguilla,Women,2050
85.1,6547,,AIA,Anguilla,Women,2051
85.2,6547,,AIA,Anguilla,Women,2052
85.4,6547,,AIA,Anguilla,Women,2053
85.5,6547,,AIA,Anguilla,Women,2054
85.6,6547,,AIA,Anguilla,Women,2055
85.7,6547,,AIA,Anguilla,Women,2056
85.9,6547,,AIA,Anguilla,Women,2057
86.0,6547,,AIA,Anguilla,Women,2058
86.1,6547,,AIA,Anguilla,Women,2059
86.2,6547,,AIA,Anguilla,Women,2060
86.4,6547,,AIA,Anguilla,Women,2061
86.5,6547,,AIA,Anguilla,Women,2062
86.6,6547,,AIA,Anguilla,Women,2063
86.7,6547,,AIA,Anguilla,Women,2064
86.8,6547,,AIA,Anguilla,Women,2065
87.0,6547,,AIA,Anguilla,Women,2066
87.1,6547,,AIA,Anguilla,Women,2067
87.2,6547,,AIA,Anguilla,Women,2068
87.3,6547,,AIA,Anguilla,Women,2069
87.4,6547,,AIA,Anguilla,Women,2070
87.6,6547,,AIA,Anguilla,Women,2071
87.7,6547,,AIA,Anguilla,Women,2072
87.8,6547,,AIA,Anguilla,Women,2073
87.9,6547,,AIA,Anguilla,Women,2074
88.0,6547,,AIA,Anguilla,Women,2075
88.2,6547,,AIA,Anguilla,Women,2076
88.3,6547,,AIA,Anguilla,Women,2077
88.4,6547,,AIA,Anguilla,Women,2078
88.5,6547,,AIA,Anguilla,Women,2079
88.7,6547,,AIA,Anguilla,Women,2080
88.8,6547,,AIA,Anguilla,Women,2081
88.9,6547,,AIA,Anguilla,Women,2082
89.0,6547,,AIA,Anguilla,Women,2083
89.1,6547,,AIA,Anguilla,Women,2084
89.2,6547,,AIA,Anguilla,Women,2085
89.3,6547,,AIA,Anguilla,Women,2086
89.5,6547,,AIA,Anguilla,Women,2087
89.6,6547,,AIA,Anguilla,Women,2088
89.7,6547,,AIA,Anguilla,Women,2089
89.8,6547,,AIA,Anguilla,Women,2090
89.9,6547,,AIA,Anguilla,Women,2091
90.0,6547,,AIA,Anguilla,Women,2092
90.1,6547,,AIA,Anguilla,Women,2093
90.3,6547,,AIA,Anguilla,Women,2094
90.4,6547,,AIA,Anguilla,Women,2095
90.5,6547,,AIA,Anguilla,Women,2096
90.6,6547,,AIA,Anguilla,Women,2097
90.7,6547,,AIA,Anguilla,Women,2098
90.9,6547,,AIA,Anguilla,Women,2099
91.0,6547,,AIA,Anguilla,Women,2100
58.1,6547,,ATG,Antigua and Barbuda,Both sexes,1950
58.6,6547,,ATG,Antigua and Barbuda,Both sexes,1951
59.0,6547,,ATG,Antigua and Barbuda,Both sexes,1952
59.4,6547,,ATG,Antigua and Barbuda,Both sexes,1953
59.8,6547,,ATG,Antigua and Barbuda,Both sexes,1954
60.2,6547,,ATG,Antigua and Barbuda,Both sexes,1955
60.7,6547,,ATG,Antigua and Barbuda,Both sexes,1956
61.1,6547,,ATG,Antigua and Barbuda,Both sexes,1957
61.6,6547,,ATG,Antigua and Barbuda,Both sexes,1958
62.1,6547,,ATG,Antigua and Barbuda,Both sexes,1959
62.6,6547,,ATG,Antigua and Barbuda,Both sexes,1960
63.3,6547,,ATG,Antigua and Barbuda,Both sexes,1961
64.0,6547,,ATG,Antigua and Barbuda,Both sexes,1962
64.7,6547,,ATG,Antigua and Barbuda,Both sexes,1963
65.4,6547,,ATG,Antigua and Barbuda,Both sexes,1964
66.2,6547,,ATG,Antigua and Barbuda,Both sexes,1965
66.9,6547,,ATG,Antigua and Barbuda,Both sexes,1966
67.6,6547,,ATG,Antigua and Barbuda,Both sexes,1967
68.2,6547,,ATG,Antigua and Barbuda,Both sexes,1968
68.8,6547,,ATG,Antigua and Barbuda,Both sexes,1969
69.4,6547,,ATG,Antigua and Barbuda,Both sexes,1970
69.9,6547,,ATG,Antigua and Barbuda,Both sexes,1971
70.3,6547,,ATG,Antigua and Barbuda,Both sexes,1972
70.7,6547,,ATG,Antigua and Barbuda,Both sexes,1973
71.1,6547,,ATG,Antigua and Barbuda,Both sexes,1974
71.4,6547,,ATG,Antigua and Barbuda,Both sexes,1975
71.8,6547,,ATG,Antigua and Barbuda,Both sexes,1976
72.1,6547,,ATG,Antigua and Barbuda,Both sexes,1977
72.5,6547,,ATG,Antigua and Barbuda,Both sexes,1978
72.8,6547,,ATG,Antigua and Barbuda,Both sexes,1979
73.1,6547,,ATG,Antigua and Barbuda,Both sexes,1980
73.3,6547,,ATG,Antigua and Barbuda,Both sexes,1981
73.5,6547,,ATG,Antigua and Barbuda,Both sexes,1982
73.7,6547,,ATG,Antigua and Barbuda,Both sexes,1983
73.8,6547,,ATG,Antigua and Barbuda,Both sexes,1984
73.9,6547,,ATG,Antigua and Barbuda,Both sexes,1985
73.9,6547,,ATG,Antigua and Barbuda,Both sexes,1986
73.9,6547,,ATG,Antigua and Barbuda,Both sexes,1987
73.8,6547,,ATG,Antigua and Barbuda,Both sexes,1988
73.6,6547,,ATG,Antigua and Barbuda,Both sexes,1989
73.6,6547,,ATG,Antigua and Barbuda,Both sexes,1990
73.5,6547,,ATG,Antigua and Barbuda,Both sexes,1991
73.4,6547,,ATG,Antigua and Barbuda,Both sexes,1992
73.4,6547,,ATG,Antigua and Barbuda,Both sexes,1993
73.5,6547,,ATG,Antigua and Barbuda,Both sexes,1994
73.6,6547,,ATG,Antigua and Barbuda,Both sexes,1995
73.8,6547,,ATG,Antigua and Barbuda,Both sexes,1996
74.0,6547,,ATG,Antigua and Barbuda,Both sexes,1997
74.2,6547,,ATG,Antigua and Barbuda,Both sexes,1998
74.5,6547,,ATG,Antigua and Barbuda,Both sexes,1999
74.8,6547,,ATG,Antigua and Barbuda,Both sexes,2000
75.1,6547,,ATG,Antigua and Barbuda,Both sexes,2001
75.2,6547,,ATG,Antigua and Barbuda,Both sexes,2002
75.3,6547,,ATG,Antigua and Barbuda,Both sexes,2003
75.3,6547,,ATG,Antigua and Barbuda,Both sexes,2004
75.4,6547,,ATG,Antigua and Barbuda,Both sexes,2005
75.5,6547,,ATG,Antigua and Barbuda,Both sexes,2006
75.7,6547,,ATG,Antigua and Barbuda,Both sexes,2007
76.1,6547,,ATG,Antigua and Barbuda,Both sexes,2008
76.4,6547,,ATG,Antigua and Barbuda,Both sexes,2009
76.7,6547,,ATG,Antigua and Barbuda,Both sexes,2010
77.0,6547,,ATG,Antigua and Barbuda,Both sexes,2011
77.1,6547,,ATG,Antigua and Barbuda,Both sexes,2012
77.0,6547,,ATG,Antigua and Barbuda,Both sexes,2013
76.9,6547,,ATG,Antigua and Barbuda,Both sexes,2014
76.9,6547,,ATG,Antigua and Barbuda,Both sexes,2015
77.0,6547,,ATG,Antigua and Barbuda,Both sexes,2016
77.0,6547,,ATG,Antigua and Barbuda,Both sexes,2017
77.1,6547,,ATG,Antigua and Barbuda,Both sexes,2018
77.2,6547,,ATG,Antigua and Barbuda,Both sexes,2019
77.2,6547,,ATG,Antigua and Barbuda,Both sexes,2020
77.2,6547,,ATG,Antigua and Barbuda,Both sexes,2021
77.5,6547,,ATG,Antigua and Barbuda,Both sexes,2022
77.6,6547,,ATG,Antigua and Barbuda,Both sexes,2023
77.8,6547,,ATG,Antigua and Barbuda,Both sexes,2024
77.9,6547,,ATG,Antigua and Barbuda,Both sexes,2025
78.1,6547,,ATG,Antigua and Barbuda,Both sexes,2026
78.3,6547,,ATG,Antigua and Barbuda,Both sexes,2027
78.5,6547,,ATG,Antigua and Barbuda,Both sexes,2028
78.6,6547,,ATG,Antigua and Barbuda,Both sexes,2029
78.8,6547,,ATG,Antigua and Barbuda,Both sexes,2030
79.0,6547,,ATG,Antigua and Barbuda,Both sexes,2031
